Latitude (decimal degrees):	38.975
Longitude (decimal degrees):	-5.270
Elevation (m):	459
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230105:1810,0.0,0.0,0.0,11.63,0.69,0.0
20230105:1910,0.0,0.0,0.0,10.74,0.55,0.0
20230105:2010,0.0,0.0,0.0,10.15,0.28,0.0
20230105:2110,0.0,0.0,0.0,9.61,0.34,0.0
20230105:2210,0.0,0.0,0.0,8.88,0.62,0.0
20230105:2310,0.0,0.0,0.0,8.17,0.9,0.0
20230106:0010,0.0,0.0,0.0,7.45,1.03,0.0
20230106:0110,0.0,0.0,0.0,7.01,1.03,0.0
20230106:0210,0.0,0.0,0.0,6.59,0.97,0.0
20230106:0310,0.0,0.0,0.0,5.55,1.03,0.0
20230106:0410,0.0,0.0,0.0,4.4,1.1,0.0
20230106:0510,0.0,0.0,0.0,2.68,1.1,0.0
20230106:0610,0.0,0.0,0.0,2.5,0.97,0.0
20230106:0710,0.0,0.0,0.0,3.52,1.17,0.0
20230106:0810,92940.0,125.96,4.16,3.01,1.17,0.0
20230106:0910,350030.0,413.04,13.25,4.51,0.69,0.0
20230106:1010,462200.0,552.5,20.71,6.87,0.48,0.0
20230106:1110,608620.0,752.73,25.96,8.73,0.28,0.0
20230106:1210,699200.0,892.13,28.4,10.24,0.14,0.0
20230106:1310,699760.0,888.62,27.69,11.49,0.55,0.0
20230106:1410,639060.0,799.54,23.93,12.3,0.83,0.0
20230106:1510,509110.0,625.01,17.6,12.49,0.97,0.0
20230106:1610,302470.0,374.45,9.34,12.15,0.9,0.0
20230106:1710,0.0,0.0,0.0,11.07,0.97,0.0
20230106:1810,0.0,0.0,0.0,10.03,0.76,0.0
20230106:1910,0.0,0.0,0.0,8.91,0.41,0.0
20230106:2010,0.0,0.0,0.0,8.4,0.28,0.0
20230106:2110,0.0,0.0,0.0,7.93,0.62,0.0
20230106:2210,0.0,0.0,0.0,6.64,1.17,0.0
20230106:2310,0.0,0.0,0.0,4.25,1.45,0.0
20230107:0010,0.0,0.0,0.0,3.71,1.45,0.0
20230107:0110,0.0,0.0,0.0,2.92,1.52,0.0
20230107:0210,0.0,0.0,0.0,2.74,1.38,0.0
20230107:0310,0.0,0.0,0.0,3.0,1.31,0.0
20230107:0410,0.0,0.0,0.0,3.04,0.97,0.0
20230107:0510,0.0,0.0,0.0,3.13,0.97,0.0
20230107:0610,0.0,0.0,0.0,3.5,1.24,0.0
20230107:0710,0.0,0.0,0.0,4.06,1.79,0.0
20230107:0810,750.0,7.42,4.18,4.38,1.93,0.0
20230107:0910,149480.0,184.74,13.29,5.26,1.72,0.0
20230107:1010,467780.0,550.83,20.78,6.54,1.59,0.0
20230107:1110,246420.0,296.77,26.05,8.48,1.86,0.0
20230107:1210,89870.0,121.45,28.52,10.58,2.41,0.0
20230107:1310,367180.0,440.5,27.82,12.8,3.38,0.0
20230107:1410,177830.0,223.42,24.08,13.76,3.66,0.0
20230107:1510,102610.0,137.02,17.76,13.27,3.17,0.0
20230107:1610,60860.0,88.25,9.5,12.82,3.45,0.0
20230107:1710,0.0,0.0,0.0,12.1,3.72,0.0
20230107:1810,0.0,0.0,0.0,11.7,3.86,0.0
20230107:1910,0.0,0.0,0.0,11.71,4.21,0.0
20230107:2010,0.0,0.0,0.0,11.73,4.34,0.0
20230107:2110,0.0,0.0,0.0,11.92,4.48,0.0
20230107:2210,0.0,0.0,0.0,12.04,4.55,0.0
20230107:2310,0.0,0.0,0.0,11.9,4.55,0.0
20230108:0010,0.0,0.0,0.0,11.86,4.83,0.0
20230108:0110,0.0,0.0,0.0,11.67,4.97,0.0
20230108:0210,0.0,0.0,0.0,11.64,4.28,0.0
20230108:0310,0.0,0.0,0.0,11.51,3.52,0.0
20230108:0410,0.0,0.0,0.0,11.56,2.97,0.0
20230108:0510,0.0,0.0,0.0,11.47,2.62,0.0
20230108:0610,0.0,0.0,0.0,11.58,2.83,0.0
20230108:0710,0.0,0.0,0.0,12.46,3.52,0.0
20230108:0810,9610.0,23.17,4.21,12.78,3.79,0.0
20230108:0910,47710.0,72.45,13.33,13.1,4.28,0.0
20230108:1010,92230.0,124.99,20.85,13.36,5.31,0.0
20230108:1110,142730.0,183.16,26.15,13.51,4.83,0.0
20230108:1210,196670.0,245.0,28.64,14.19,5.24,0.0
20230108:1310,147730.0,189.8,27.97,14.45,4.69,0.0
20230108:1410,101970.0,137.13,24.23,14.56,4.69,0.0
20230108:1510,41980.0,65.82,17.92,14.53,5.79,0.0
20230108:1610,93120.0,126.64,9.66,14.3,5.66,0.0
20230108:1710,0.0,0.0,0.0,13.96,4.76,0.0
20230108:1810,0.0,0.0,0.0,13.66,4.55,0.0
20230108:1910,0.0,0.0,0.0,13.53,4.9,0.0
20230108:2010,0.0,0.0,0.0,13.29,4.83,0.0
20230108:2110,0.0,0.0,0.0,13.08,4.76,0.0
20230108:2210,0.0,0.0,0.0,12.82,4.69,0.0
20230108:2310,0.0,0.0,0.0,12.49,4.34,0.0
20230109:0010,0.0,0.0,0.0,12.39,4.21,0.0
20230109:0110,0.0,0.0,0.0,12.46,3.52,0.0
20230109:0210,0.0,0.0,0.0,12.43,3.31,0.0
20230109:0310,0.0,0.0,0.0,12.36,2.9,0.0
20230109:0410,0.0,0.0,0.0,12.27,2.83,0.0
20230109:0510,0.0,0.0,0.0,12.06,2.69,0.0
20230109:0610,0.0,0.0,0.0,11.77,2.55,0.0
20230109:0710,0.0,0.0,0.0,12.09,2.76,0.0
20230109:0810,118760.0,161.93,4.24,11.55,2.62,0.0
20230109:0910,141950.0,180.71,13.39,11.78,3.24,0.0
20230109:1010,415330.0,492.78,20.93,12.34,4.34,0.0
20230109:1110,365490.0,436.53,26.26,12.69,4.07,0.0
20230109:1210,489480.0,586.76,28.77,13.32,3.79,0.0
20230109:1310,547610.0,660.19,28.12,14.01,3.79,0.0
20230109:1410,482380.0,579.9,24.4,14.21,3.72,0.0
20230109:1510,470900.0,566.5,18.09,14.13,3.52,0.0
20230109:1610,215350.0,268.77,9.83,13.68,3.03,0.0
20230109:1710,0.0,0.0,0.0,12.81,2.21,0.0
20230109:1810,0.0,0.0,0.0,11.64,1.79,0.0
20230109:1910,0.0,0.0,0.0,10.85,1.79,0.0
20230109:2010,0.0,0.0,0.0,9.69,1.79,0.0
20230109:2110,0.0,0.0,0.0,8.7,1.66,0.0
20230109:2210,0.0,0.0,0.0,7.95,1.66,0.0
20230109:2310,0.0,0.0,0.0,7.38,1.66,0.0
20230110:0010,0.0,0.0,0.0,6.87,1.66,0.0
20230110:0110,0.0,0.0,0.0,6.67,1.52,0.0
20230110:0210,0.0,0.0,0.0,6.7,1.38,0.0
20230110:0310,0.0,0.0,0.0,6.66,1.31,0.0
20230110:0410,0.0,0.0,0.0,6.74,1.24,0.0
20230110:0510,0.0,0.0,0.0,7.45,1.1,0.0
20230110:0610,0.0,0.0,0.0,7.61,0.76,0.0
20230110:0710,0.0,0.0,0.0,7.64,0.69,0.0
20230110:0810,44200.0,68.81,4.28,7.05,0.97,0.0
20230110:0910,89340.0,118.89,13.44,6.81,0.76,0.0
20230110:1010,99910.0,132.41,21.01,8.97,0.76,0.0
20230110:1110,94360.0,127.01,26.37,10.53,0.83,0.0
20230110:1210,75640.0,105.69,28.91,11.88,1.1,0.0
20230110:1310,60460.0,88.08,28.28,13.08,1.38,0.0
20230110:1410,57200.0,84.37,24.56,13.77,1.66,0.0
20230110:1510,73850.0,104.24,18.26,14.04,1.86,0.0
20230110:1610,58950.0,86.4,10.0,13.72,1.79,0.0
20230110:1710,0.0,0.0,0.0,12.77,1.45,0.0
20230110:1810,0.0,0.0,0.0,11.44,1.59,0.0
20230110:1910,0.0,0.0,0.0,10.48,0.97,0.0
20230110:2010,0.0,0.0,0.0,10.1,1.03,0.0
20230110:2110,0.0,0.0,0.0,10.04,1.17,0.0
20230110:2210,0.0,0.0,0.0,10.07,1.24,0.0
20230110:2310,0.0,0.0,0.0,9.82,1.1,0.0
20230111:0010,0.0,0.0,0.0,9.37,1.03,0.0
20230111:0110,0.0,0.0,0.0,9.14,1.03,0.0
20230111:0210,0.0,0.0,0.0,8.92,1.1,0.0
20230111:0310,0.0,0.0,0.0,8.64,1.1,0.0
20230111:0410,0.0,0.0,0.0,8.77,1.03,0.0
20230111:0510,0.0,0.0,0.0,9.14,0.9,0.0
20230111:0610,0.0,0.0,0.0,9.47,0.9,0.0
20230111:0710,0.0,0.0,0.0,9.61,1.03,0.0
20230111:0810,11590.0,25.82,4.32,9.84,1.1,0.0
20230111:0910,245650.0,299.63,13.51,10.45,1.17,0.0
20230111:1010,186350.0,231.38,21.1,11.46,2.14,0.0
20230111:1110,159190.0,201.95,26.49,12.19,2.07,0.0
20230111:1210,127140.0,165.6,29.06,12.39,2.14,0.0
20230111:1310,206400.0,256.37,28.44,12.53,2.07,0.0
20230111:1410,130450.0,169.5,24.74,12.73,1.86,0.0
20230111:1510,142730.0,182.86,18.44,12.93,2.28,0.0
20230111:1610,306740.0,377.6,10.17,12.8,1.79,0.0
20230111:1710,0.0,0.0,0.0,12.42,1.31,0.0
20230111:1810,0.0,0.0,0.0,11.73,1.31,0.0
20230111:1910,0.0,0.0,0.0,11.05,1.38,0.0
20230111:2010,0.0,0.0,0.0,10.46,0.97,0.0
20230111:2110,0.0,0.0,0.0,10.35,0.83,0.0
20230111:2210,0.0,0.0,0.0,10.02,0.83,0.0
20230111:2310,0.0,0.0,0.0,8.48,1.17,0.0
20230112:0010,0.0,0.0,0.0,8.11,1.03,0.0
20230112:0110,0.0,0.0,0.0,6.5,1.1,0.0
20230112:0210,0.0,0.0,0.0,5.58,1.03,0.0
20230112:0310,0.0,0.0,0.0,5.64,1.17,0.0
20230112:0410,0.0,0.0,0.0,6.06,1.24,0.0
20230112:0510,0.0,0.0,0.0,5.99,1.24,0.0
20230112:0610,0.0,0.0,0.0,5.91,1.31,0.0
20230112:0710,0.0,0.0,0.0,5.88,1.38,0.0
20230112:0810,104030.0,140.93,4.37,5.88,1.45,0.0
20230112:0910,257300.0,306.62,13.58,5.97,1.38,0.0
20230112:1010,287460.0,340.45,21.2,6.46,1.45,0.0
20230112:1110,280650.0,334.68,26.61,7.41,1.59,0.0
20230112:1210,713510.0,876.81,29.21,8.79,1.52,0.0
20230112:1310,724720.0,906.88,28.61,10.36,1.1,0.0
20230112:1410,588540.0,729.23,24.92,11.69,0.76,0.0
20230112:1510,501570.0,618.87,18.62,12.29,0.48,0.0
20230112:1610,286380.0,354.92,10.35,12.28,0.62,0.0
20230112:1710,0.0,0.0,0.0,11.58,0.97,0.0
20230112:1810,0.0,0.0,0.0,9.67,1.24,0.0
20230112:1910,0.0,0.0,0.0,8.57,1.17,0.0
20230112:2010,0.0,0.0,0.0,9.27,0.76,0.0
20230112:2110,0.0,0.0,0.0,8.84,0.55,0.0
20230112:2210,0.0,0.0,0.0,8.38,0.62,0.0
20230112:2310,0.0,0.0,0.0,7.97,0.76,0.0
20230113:0010,0.0,0.0,0.0,7.33,0.97,0.0
20230113:0110,0.0,0.0,0.0,6.87,1.1,0.0
20230113:0210,0.0,0.0,0.0,5.34,1.24,0.0
20230113:0310,0.0,0.0,0.0,5.6,0.69,0.0
20230113:0410,0.0,0.0,0.0,4.49,0.76,0.0
20230113:0510,0.0,0.0,0.0,4.57,0.62,0.0
20230113:0610,0.0,0.0,0.0,4.85,0.62,0.0
20230113:0710,0.0,0.0,0.0,4.66,0.62,0.0
20230113:0810,49380.0,74.56,4.43,4.65,0.62,0.0
20230113:0910,192580.0,233.29,13.66,4.88,0.69,0.0
20230113:1010,219160.0,263.38,21.31,5.28,0.62,0.0
20230113:1110,382960.0,453.51,26.75,5.96,0.69,0.0
20230113:1210,284390.0,340.77,29.37,6.96,0.69,0.0
20230113:1310,316070.0,379.29,28.79,8.23,0.76,0.0
20230113:1410,495470.0,599.82,25.11,9.25,0.69,0.0
20230113:1510,493700.0,600.87,18.81,9.97,0.55,0.0
20230113:1610,304960.0,373.24,10.53,10.25,0.83,0.0
20230113:1710,0.0,0.0,0.0,9.9,0.69,0.0
20230113:1810,0.0,0.0,0.0,8.41,1.03,0.0
20230113:1910,0.0,0.0,0.0,6.84,1.38,0.0
20230113:2010,0.0,0.0,0.0,7.27,1.03,0.0
20230113:2110,0.0,0.0,0.0,7.8,0.14,0.0
20230113:2210,0.0,0.0,0.0,7.46,0.62,0.0
20230113:2310,0.0,0.0,0.0,6.51,0.97,0.0
20230114:0010,0.0,0.0,0.0,6.49,0.83,0.0
20230114:0110,0.0,0.0,0.0,6.24,0.41,0.0
20230114:0210,0.0,0.0,0.0,5.7,0.83,0.0
20230114:0310,0.0,0.0,0.0,2.58,1.52,0.0
20230114:0410,0.0,0.0,0.0,2.46,1.38,0.0
20230114:0510,0.0,0.0,0.0,3.25,0.97,0.0
20230114:0610,0.0,0.0,0.0,2.4,1.17,0.0
20230114:0710,0.0,0.0,0.0,2.44,1.38,0.0
20230114:0810,66920.0,95.01,4.49,2.47,1.31,0.0
20230114:0910,231690.0,276.26,13.75,4.02,0.69,0.0
20230114:1010,305780.0,364.28,21.42,6.66,0.48,0.0
20230114:1110,655520.0,812.36,26.89,8.79,0.55,0.0
20230114:1210,712110.0,902.79,29.53,10.71,0.55,0.0
20230114:1310,707010.0,902.5,28.98,12.18,0.55,0.0
20230114:1410,654670.0,827.28,25.3,13.09,0.69,0.0
20230114:1510,506760.0,624.02,19.0,13.46,1.03,0.0
20230114:1610,263190.0,326.69,10.72,13.16,1.17,0.0
20230114:1710,0.0,0.0,0.0,12.03,1.31,0.0
20230114:1810,0.0,0.0,0.0,10.04,1.31,0.0
20230114:1910,0.0,0.0,0.0,8.24,1.38,0.0
20230114:2010,0.0,0.0,0.0,7.38,1.31,0.0
20230114:2110,0.0,0.0,0.0,6.42,1.38,0.0
20230114:2210,0.0,0.0,0.0,5.27,1.52,0.0
20230114:2310,0.0,0.0,0.0,4.87,1.59,0.0
20230115:0010,0.0,0.0,0.0,4.6,1.66,0.0
20230115:0110,0.0,0.0,0.0,4.69,1.72,0.0
20230115:0210,0.0,0.0,0.0,4.66,1.66,0.0
20230115:0310,0.0,0.0,0.0,4.7,1.59,0.0
20230115:0410,0.0,0.0,0.0,4.67,1.52,0.0
20230115:0510,0.0,0.0,0.0,4.51,1.45,0.0
20230115:0610,0.0,0.0,0.0,4.4,1.38,0.0
20230115:0710,0.0,0.0,0.0,4.65,1.1,0.0
20230115:0810,12300.0,26.44,4.56,5.73,1.17,0.0
20230115:0910,53670.0,77.9,13.84,7.06,1.93,0.0
20230115:1010,181000.0,221.92,21.54,8.07,2.48,0.0
20230115:1110,55540.0,80.66,27.04,8.87,2.83,0.0
20230115:1210,95260.0,127.01,29.71,9.62,3.31,0.0
20230115:1310,62250.0,89.0,29.17,10.38,3.86,0.0
20230115:1410,289330.0,346.1,25.5,11.36,4.55,0.0
20230115:1510,30630.0,50.99,19.2,11.34,3.86,0.0
20230115:1610,302410.0,366.6,10.91,11.09,2.97,0.0
20230115:1710,0.0,0.0,0.0,10.34,2.83,0.0
20230115:1810,0.0,0.0,0.0,9.43,2.69,0.0
20230115:1910,0.0,0.0,0.0,8.5,2.97,0.0
20230115:2010,0.0,0.0,0.0,7.65,2.9,0.0
20230115:2110,0.0,0.0,0.0,6.94,2.83,0.0
20230115:2210,0.0,0.0,0.0,6.24,2.76,0.0
20230115:2310,0.0,0.0,0.0,5.68,2.97,0.0
20230116:0010,0.0,0.0,0.0,5.25,3.31,0.0
20230116:0110,0.0,0.0,0.0,4.83,3.17,0.0
20230116:0210,0.0,0.0,0.0,4.5,3.1,0.0
20230116:0310,0.0,0.0,0.0,4.24,3.03,0.0
20230116:0410,0.0,0.0,0.0,4.09,2.97,0.0
20230116:0510,0.0,0.0,0.0,4.01,2.9,0.0
20230116:0610,0.0,0.0,0.0,4.01,2.9,0.0
20230116:0710,0.0,0.0,0.0,4.58,3.38,0.0
20230116:0810,31080.0,51.59,4.64,5.22,3.79,0.0
20230116:0910,33650.0,53.77,13.94,6.5,3.45,0.0
20230116:1010,77440.0,105.69,21.66,7.93,3.79,0.0
20230116:1110,392010.0,458.49,27.19,9.39,5.24,0.0
20230116:1210,574760.0,670.87,29.89,10.51,6.9,0.0
20230116:1310,107760.0,141.85,29.37,11.33,6.48,0.0
20230116:1410,115670.0,150.89,25.7,11.46,6.0,0.0
20230116:1510,138090.0,175.45,19.4,11.28,5.79,0.0
20230116:1610,96760.0,129.04,11.11,11.17,5.38,0.0
20230116:1710,0.0,0.0,0.0,10.82,4.97,0.0
20230116:1810,0.0,0.0,0.0,10.37,4.83,0.0
20230116:1910,0.0,0.0,0.0,10.13,5.17,0.0
20230116:2010,0.0,0.0,0.0,10.02,5.52,0.0
20230116:2110,0.0,0.0,0.0,9.87,5.72,0.0
20230116:2210,0.0,0.0,0.0,9.73,6.0,0.0
20230116:2310,0.0,0.0,0.0,9.59,6.21,0.0
20230117:0010,0.0,0.0,0.0,9.74,6.55,0.0
20230117:0110,0.0,0.0,0.0,9.79,6.55,0.0
20230117:0210,0.0,0.0,0.0,9.81,6.41,0.0
20230117:0310,0.0,0.0,0.0,9.82,6.48,0.0
20230117:0410,0.0,0.0,0.0,9.72,6.55,0.0
20230117:0510,0.0,0.0,0.0,9.82,6.41,0.0
20230117:0610,0.0,0.0,0.0,9.8,6.34,0.0
20230117:0710,0.0,0.0,0.0,9.81,6.48,0.0
20230117:0810,11910.0,26.25,4.72,9.99,7.1,0.0
20230117:0910,225640.0,271.11,14.04,9.85,7.66,0.0
20230117:1010,213820.0,258.48,21.79,10.17,6.41,0.0
20230117:1110,545010.0,634.94,27.35,9.85,6.21,0.0
20230117:1210,620630.0,725.02,30.07,10.27,6.83,0.0
20230117:1310,347290.0,408.67,29.57,10.48,6.62,0.0
20230117:1410,141030.0,178.71,25.91,10.73,6.9,0.0
20230117:1510,293480.0,346.84,19.61,10.55,7.03,0.0
20230117:1610,23590.0,41.72,11.3,9.82,6.76,0.0
20230117:1710,0.0,0.0,0.0,8.75,6.62,0.0
20230117:1810,0.0,0.0,0.0,7.88,6.07,0.0
20230117:1910,0.0,0.0,0.0,7.24,6.0,0.0
20230117:2010,0.0,0.0,0.0,6.72,5.52,0.0
20230117:2110,0.0,0.0,0.0,6.45,5.45,0.0
20230117:2210,0.0,0.0,0.0,6.15,5.45,0.0
20230117:2310,0.0,0.0,0.0,5.45,5.38,0.0
20230118:0010,0.0,0.0,0.0,5.13,5.1,0.0
20230118:0110,0.0,0.0,0.0,5.02,5.38,0.0
20230118:0210,0.0,0.0,0.0,4.34,5.45,0.0
20230118:0310,0.0,0.0,0.0,4.05,5.24,0.0
20230118:0410,0.0,0.0,0.0,3.72,4.97,0.0
20230118:0510,0.0,0.0,0.0,3.58,4.83,0.0
20230118:0610,0.0,0.0,0.0,3.59,4.69,0.0
20230118:0710,0.0,0.0,0.0,3.56,4.69,0.0
20230118:0810,166960.0,212.49,4.8,3.33,4.48,0.0
20230118:0910,423070.0,487.17,14.15,3.91,3.86,0.0
20230118:1010,609860.0,699.28,21.93,4.93,5.03,0.0
20230118:1110,716880.0,831.83,27.52,6.05,5.24,0.0
20230118:1210,781220.0,916.44,30.27,7.07,5.31,0.0
20230118:1310,664140.0,775.07,29.78,7.8,5.31,0.0
20230118:1410,380380.0,442.53,26.13,8.22,5.45,0.0
20230118:1510,409480.0,475.44,19.82,8.38,5.45,0.0
20230118:1610,363980.0,428.74,11.51,8.02,5.38,0.0
20230118:1710,0.0,3.5,1.8,7.32,4.62,0.0
20230118:1810,0.0,0.0,0.0,6.51,4.21,0.0
20230118:1910,0.0,0.0,0.0,6.11,3.79,0.0
20230118:2010,0.0,0.0,0.0,5.57,3.72,0.0
20230118:2110,0.0,0.0,0.0,5.06,3.45,0.0
20230118:2210,0.0,0.0,0.0,4.51,3.17,0.0
20230118:2310,0.0,0.0,0.0,3.98,3.17,0.0
20230119:0010,0.0,0.0,0.0,3.49,3.03,0.0
20230119:0110,0.0,0.0,0.0,3.02,2.83,0.0
20230119:0210,0.0,0.0,0.0,2.59,2.62,0.0
20230119:0310,0.0,0.0,0.0,2.13,2.41,0.0
